tier,fuente,fecha,negocio,telefonos,direccion,metodo,score,shop_id,shop_name,shop_muni,candidato_revisar
review,01_06_2026.docx,2026-06-01,Deportes de moto,,"ALDAMA, BARRIO DE SAN LORENZO, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.571,sbSqrQx9jdKqbYetnyK3,MOTO SPORT,Iztapalapa,
review,02_06_2026.docx,2026-06-02,KAWASAKI (Joab Stunt),+525565431616,"Sector Popular, Héroes de Churubusco, Iztapalapa, 09090 Ciudad de México, CDMXContacto principal:",nombre+municipio,0.56,kvs6MjzxDn0ObIOVnDRe,KAWASAKI,Iztapalapa,
review,02_07_2026.docx,2026-07-02,TALLER MECANICO AUTOS Y MOTOS TIENDA MECÁNICA,5528927774 +525556861474,"AMPLIACIÓN ERMITA IZTAPALAPA, 136, BARRIO SAN LUCAS, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.767,o9f21vZE6X6rv16Vqa4D,TALLER MECANICO AUTOS & MOTOS MECANIC SHOP,Iztapalapa,
review,02_07_2026.docx,2026-07-02,SERVICIO DE MOTOS BEIKERS HERMANOS,5559432749 5543555983,"SAN LORENZO, PARAJE SAN JUAN, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.793,Xgn05vptwFPUCIRgOdNU,SERVICIO DE MOTOS BEIKERS BROTHERS,Iztapalapa,
review,03_07_2026.docx,2026-07-03,Moto servicio Garcia,5532071311,"AV. Nuevo León, Caltongo, Xochimilco, 16083 Ciudad de México, CDMX, México",nombre+municipio,0.667,HQDN8sz9324r1BBFK1ZK,MOTO SERVICIO MARTINEZ,Xochimilco,
review,05_06_2026.docx,2026-06-05,Motos Gasper,5545283900,"VENADOS, 3, OLIVOS, Tláhuac, CIUDAD DE MÉXICO",nombre+municipio,0.714,mXbaoOiVtNYdvvpBcLvm,TALLER DE MOTOS GASPER,Tláhuac,
no_match,05_06_2026.docx,2026-06-05,Armando motos,5546631138,"MUZIO CLEMENTI, 102, MIGUEL HIDALGO, Tláhuac, CIUDAD DE MÉXICO",needs_review,0.387,,,,TALLER MECANICO DE MOTOS (lweTsnC2W2kJhZ9JGren)
review,06_07_2026.docx,2026-07-06,Taller de motos yovas,,"AGUSTIN LARA, 988, SAN JOSÉ, Tláhuac, CIUDAD DE MÉXICO",nombre+municipio,0.828,m4GFWl7n2Soi9Bg0irOu,TALLER DE MOTOS,Tláhuac,
review,07_07_2026.docx,2026-07-07,Moto servicio el Danny,Persona entrevistada: Danny,"FRANCISCO PRESA, 44, SAN SEBASTIÁN, Tláhuac, CIUDAD DE MÉXICO",nombre+municipio,0.686,CwB57tNhMXEbyjpwqx4m,MOTO SERVICIO PIRAÑA,Tláhuac,
review,08_06_2026.docx,2026-06-08,motos los betos taller,,"TEOFILO NORE, 0, LA CONCHITA, Tláhuac, CIUDAD DE MÉXICO",nombre+municipio,0.739,sGMDmBdcPMXsZFgh1o4S,TALLER MECANICODE MOTOS LOS BETOS,Tláhuac,
review,09_06_2026.docx,2026-06-09,taller de motos,,"BENITO JUAREZ, 7, DESARROLLO URBANO DE QUETZALCOATL, Iztapalapa, CIUDAD DE MÉXICO Contacto principal: Armando juarez",nombre+municipio,0.75,ifmuloruwOqY1rbGyFjO,TALLER DE MOTOSSTAY TRUE,Benito Juárez,
no_match,09_06_2026.docx,2026-06-09,ATM RACING,5561046092,"Av. Benito Juarez Local 1, La Polvorilla, Iztapalapa, 09750 Ciudad de México, CDMX",needs_review,0.133,,,,MOTO CITY (Yj8PKJdGhjDAmg5olBmB)
review,09_06_2026.docx,2026-06-09,SERVICIO TÉCNICO DE MOTOS,Persona entrevistada: vecina del taller,"Miguel Hidalgo, 0, SAN FRANCISCO TLALTENCO, Tláhuac, CIUDAD DE MÉXICO",nombre+municipio,0.586,lr4euYYKdX5I3zlJzjJf,MOTO SERVICIO PATRIOTISMO MECANICA DE MOTOS,Miguel Hidalgo,
review,09_07_2026.docx,2026-07-09,MV Taller de motos,+525589715558,"AV. Guadalupe I. Ramírez 735, Santa María Tepepan, Xochimilco, 16020 Ciudad de México, CDMX, México",nombre+municipio,0.8,Vlx21m89kwTSBmOzwJ9I,TALLER DE MOTOS MAJO,Xochimilco,
review,09_07_2026.docx,2026-07-09,Motos el Garaje,,"DURAZNO, 47, LAS PERLITAS, Xochimilco, CIUDAD DE MÉXICO",nombre+municipio,0.522,FizJiFlwi7DjcaB3XRIp,SERVICIO DE REPARACION DE MOTOS EL GARAJE,Xochimilco,
review,09_07_2026.docx,2026-07-09,Moto servicio muyuguarda,5523167129,"PLAN DE MUYUGUARDA, 0, LA CEBADA, Xochimilco, CIUDAD DE MÉXICO",nombre+municipio,0.651,ptJOs2hEAs5aN3QmH0u6,TALLER DE MOTOS MUYUGUARDA,Xochimilco,
review,15_06_2026.docx,2026-06-15,Taller de servicio automotriz y motos,5573548228,"04480, Coapa, Culhuacan CTM Zona X, Coyoacán, 04480 Ciudad de México, CDMX, México",nombre+municipio,0.556,Y8FwtyGNXR9DWnVFnA3Y,TALLER DE MOTOS ICONIC MOTOS,Coyoacán,
review,15_06_2026.docx,2026-06-15,motoservicios socci racing,5521213829,"Cafetales Edificio 10, Local C, Coapa, Culhuacan CTM Zona X, Coyoacán, 04939 Ciudad de México, CDMX, México",nombre+municipio,0.698,ssKJ6liJtilSTaDYGLy7,Motoservicios Mecánica En General Socci Racing,Coyoacán,
review,16_06_2026.docx,2026-06-16,Taller de motos el richard,,"14030 Mz.23 Lt.9 Numero 63, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, México",nombre+municipio,0.727,uSUzGZa8K2IuC15hwatm,TALLER DE MOTOS,Tlalpan,
no_match,16_06_2026.docx,2026-06-16,REACTOR MOTORS,REACTOR.RMOTOS@GMAIL.COM,"CORREGIDORA, 18, MIGUEL HIDALGO 1RA SECC, Tlalpan, CIUDAD DE MÉXICO",needs_review,0.316,,,,MOTOFEEL (n8Bb3lImgRRleEoVm4uq)
review,19_05_2026.docx,2026-05-19,Moto Monkey Garage,,"16819, San Mateo Xalpa, Xochimilco, 16819 Ciudad de México, CDMX",nombre+municipio,0.65,oAw4oB3cPf16Wq1W7tDp,TALLER DE MOTOS GAARAGE MONKEY,Xochimilco,
review,19_05_2026.docx,2026-05-19,"Taller de motos MB,S",+525620090516,"Cda. Matamoros 16, San José Zacatepec, San Mateo Xalpa, Xochimilco, 16800 Ciudad de México, CDMX",nombre+municipio,0.813,Vlx21m89kwTSBmOzwJ9I,TALLER DE MOTOS MAJO,Xochimilco,
no_match,19_05_2026.docx,2026-05-19,Nine Garage,+525525164673,"Las Granjas 9, Santa Cecilia Tepetlapa, Xochimilco, 16880 Ciudad de México, CDMX",needs_review,0.294,,,,TALLER DE MOTOS GAARAGE MONKEY (oAw4oB3cPf16Wq1W7tDp)
review,19_05_2026.docx,2026-05-19,Taller de motos Melanie,+525539463311,"Frida Kahlo 85, Santa Cecilia Tepetlapa, Xochimilco, 16450 Ciudad de México, CDMX",nombre+municipio,0.743,Vlx21m89kwTSBmOzwJ9I,TALLER DE MOTOS MAJO,Xochimilco,
no_match,20_05_2026.docx,2026-05-20,Prision Custom,+525535077095,"PEDRO, EJE 10, Av. Pedro Henríquez Ureña, Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX",needs_review,0.3,,,,PRO ACTION (zEU1E5sN0CwtqkdEMG4z)
review,20_05_2026.docx,2026-05-20,Taller de Motos Jordy,+525518515469,"Tepocatl, Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX",nombre+municipio,0.615,7Vm6bmsdiOAU63vckWJR,TALLER DE MOTOS MULTIMARCA,Coyoacán,
no_match,20_05_2026.docx,2026-05-20,Ryders Coyoacán,SIN NUMERO,"Zapotecas 421, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX",needs_review,0.263,,,,TALLER MECANICO PERSEO MOTORS (IyGZeUWOE6yzDmqgalx0)
no_match,21_05_2026.docx,2026-05-21,Moto Barón ROJO,No deja contacto,Av. Tlahuac 576 iztapalapa CP:09870,needs_review,0.348,,,,ARMANDO MOTOS (N419VgvToY6mXpXRgL83)
review,21_05_2026.docx,2026-05-21,Taller de motos la estrella,+525523513070,"Los Reyes, Culhuacan, Iztapalapa, 09849 Ciudad de México, CDMX",nombre+municipio,0.737,DAaq5jVM8nmbO6PPLaco,TALLER DE MOTOS LAIR,Iztapalapa,
review,21_05_2026.docx,2026-05-21,Servicio moto Sport,+525541436405,"Armada de Mexico 1412, Coapa, Col. Residencial Cafetales, Coyoacán, 04918 Ciudad de México, CDMX",nombre+municipio,0.688,ZWfDEz7eCfangcmBfES3,MOTO SERVICIO JESUS,Coyoacán,
review,22_06_2026.docx,2026-06-22,MOTO SERVICIO OTTO,5532242157,"San Francisco 65, Col. XILCANTONGO, Iztacalco, 08230 Ciudad de México, CDMX, México",nombre+municipio,0.667,qtRc3NLdTwl4ymzwyddN,MOTO SERVICIO MORALES,Iztacalco,
